smart,fortwo,9.45,微型,3门2座单厢,260L,1年2个月,1.30万公里,1.0L,4.4L,1.0L/双离合,后轮驱动,3门2座单厢,2695mm*1663mm*1555mm,2017年07月,北京,
大众,蔚领,10.59,紧凑型,5门5座两厢,589L,1年9个月,2.49万公里,1.6L,6.4L,1.6L/手自一体,前轮驱动,5门5座两厢,4559mm*1793mm*1487mm,2016年12月,河南 郑州,
本田,奥德赛,22.29,MPV,5门7座两厢,- -,2年,4.13万公里,2.4L,7.8L,2.4L/CVT无级变速,前轮驱动,5门7座两厢,4845mm*1805mm*1695mm,2016年09月,河南 郑州,
吉利,博瑞,12.31,中型,- -,- -,11个月,0.84万公里,1.8L,7.8L,1.8L/- -,- -,- -,- -,2017年10月,河南 郑州,
福特,蒙迪欧,12.28,中型,4门5座三厢,516L,3年9个月,6.71万公里,2.0L,7.9L,2.0L/手自一体,前轮驱动,4门5座三厢,4860mm*1854mm*1480mm,2014年12月,河南 郑州,
大众,POLO,6.95,小型,5门5座两厢,250L,1年2个月,1.91万公里,1.4L,5.8L,1.4L/自动,前轮驱动,5门5座两厢,3970mm*1682mm*1462mm,2017年07月,河南 郑州,
大众,途安,9.98,MPV,5门5座两厢,620L,3年6个月,7.51万公里,1.4L,6.9L,1.4L/双离合,前轮驱动,5门5座两厢,4395mm*1794mm*1658mm,2015年03月,河南 郑州,
日产,蓝鸟,9.45,紧凑型,4门5座三厢,521L,2年9个月,2.63万公里,1.6L,5.7L,1.6L/CVT无级变速,前轮驱动,4门5座三厢,4683mm*1780mm*1465mm,2015年12月,河南 郑州,
福特,福克斯,7.85,紧凑型,4门5座三厢,530L,2年5个月,2.72万公里,1.6L,6.7L,1.6L/双离合,前轮驱动,4门5座三厢,4534mm*1823mm*1483mm,2016年04月,河南 郑州,
马自达,3 昂克赛拉,9.23,紧凑型,4门5座三厢,419L,3年8个月,5.78万公里,1.5L,5.8L,1.5L/手自一体,前轮驱动,4门5座三厢,4582mm*1795mm*1458mm,2015年01月,河南 郑州,
本田,思域,8.28,紧凑型,4门5座三厢,440L,5年7个月,7.02万公里,1.8L,6.8L,1.8L/自动,前轮驱动,4门5座三厢,4535mm*1755mm*1450mm,2013年02月,河南 郑州,
丰田,雷凌,7.19,紧凑型,4门5座三厢,426L,3年7个月,6.72万公里,1.6L,6.2L,1.6L/手动,前轮驱动,4门5座三厢,4630mm*1775mm*1480mm,2015年02月,河南 郑州,
大众,朗逸,7.33,紧凑型,4门5座三厢,472L,3年2个月,7.34万公里,1.6L,6.9L,1.6L/手自一体,前轮驱动,4门5座三厢,4608mm*1743mm*1465mm,2015年07月,河南 郑州,
斯巴鲁,力狮,16.38,中型,4门5座三厢,506L,2年5个月,6.97万公里,2.5L,7.2L,2.5L/CVT无级变速,全时四驱,4门5座三厢,4807mm*1840mm*1500mm,2016年04月,河南 郑州,
马自达,CX-5,10.31,紧凑型SUV,5门5座两厢,490L,4年,7.51万公里,2.0L,6.6L,2.0L/手自一体,前轮驱动,5门5座两厢,4555mm*1840mm*1710mm,2014年09月,河南 郑州,
哈弗,H7,12.36,中型SUV,- -,- -,1年4个月,0.40万公里,2.0L,8.5L,2.0L/- -,- -,- -,- -,2017年05月,河南 郑州,
标致,508,7.78,中型,4门5座三厢,475L,4年8个月,4.76万公里,2.0L,8.4L,2.0L/手自一体,前轮驱动,4门5座三厢,4826mm*1855mm*1465mm,2014年01月,河南 郑州,
现代,悦动,5.56,紧凑型,4门5座三厢,475L,4年9个月,7.85万公里,1.6L,6.8L,1.6L/自动,前轮驱动,4门5座三厢,4543mm*1777mm*1490mm,2013年12月,河南 郑州,
福特,福克斯,6.45,紧凑型,待查门两厢,385L,3年2个月,4.65万公里,1.8L,8.1L,1.8L/手自一体,待查,待查门两厢,4342mm*1840mm*1500mm,2015年07月,河南 郑州,
大众,POLO,6.93,小型,5门5座两厢,250L,1年4个月,2.95万公里,1.4L,5.8L,1.4L/自动,前轮驱动,5门5座两厢,3970mm*1682mm*1462mm,2017年05月,河南 郑州,
大众,捷达,5.83,紧凑型,4门5座三厢,466L,2年,2.56万公里,1.4L,5.9L,1.4L/手动,前轮驱动,4门5座三厢,4487mm*1706mm*1470mm,2016年09月,河南 郑州,
大众,桑塔纳,6.59,紧凑型,4门5座三厢,466L,8个月,1.49万公里,1.6L,5.9L,1.6L/手动,前轮驱动,4门5座三厢,4475mm*1706mm*1469mm,2018年01月,河南 郑州,
福特,翼搏,7.20,小型SUV,5门5座两厢,348L,3年1个月,3.95万公里,1.5L,6.5L,1.5L/双离合,前轮驱动,5门5座两厢,4280mm*1785mm*1658mm,2015年08月,福建 福州,
奥迪,A6L,14.60,中大型,4门5座三厢,501L,6年4个月,4.52万公里,2.0L,8.3L,2.0L/CVT无级变速,前轮驱动,4门5座三厢,5035mm*1855mm*1485mm,2012年05月,甘肃 酒泉,
众泰,T600 Coupe,10.28,中型SUV,- -,- -,1年1个月,0.80万公里,1.5L,8.4L,1.5L/- -,- -,- -,- -,2017年08月,福建 福州,
日产,轩逸,9.88,紧凑型,4门5座三厢,510L,2年5个月,5.47万公里,1.6L,5.6L,1.6L/CVT无级变速,前轮驱动,4门5座三厢,4631mm*1760mm*1503mm,2016年03月,广西 桂林,
起亚,K3,6.38,紧凑型,4门5座三厢,- -,3年9个月,5.31万公里,1.6L,6.3L,1.6L/手动,前轮驱动,4门5座三厢,4600mm*1780mm*1445mm,2014年12月,广西 桂林,
日产,阳光,5.26,紧凑型,- -,- -,1年11个月,2.10万公里,1.5L,6.2L,1.5L/- -,- -,- -,- -,2016年10月,广西 桂林,
长安汽车,悦翔V7,4.50,紧凑型,4门5座三厢,- -,2年9个月,3.35万公里,1.6L,6.5L,1.6L/手动,前轮驱动,4门5座三厢,4530mm*1745mm*1498mm,2015年12月,广西 桂林,
启辰,R50X,4.88,紧凑型,5门5座两厢,317L,4年5个月,6.28万公里,1.6L,7.2L,1.6L/自动,前轮驱动,5门5座两厢,4307mm*1730mm*1564mm,2014年04月,广西 桂林,
长城,M4,2.98,小型,5门5座两厢,- -,4年10个月,5.82万公里,1.5L,6.0L,1.5L/手动,前轮驱动,5门5座两厢,3961mm*1728mm*1617mm,2013年11月,广西 桂林,
雪佛兰,科鲁兹,5.20,紧凑型,4门5座三厢,400L,6年,6.34万公里,1.6L,7.3L,1.6L/手动,前轮驱动,4门5座三厢,4598mm*1797mm*1477mm,2012年09月,广西 桂林,
宝骏,乐驰,1.78,微型,5门5座两厢,- -,4年10个月,3.06万公里,1.0L,5.6L,1.0L/手动,前轮驱动,5门5座两厢,3545mm*1495mm*1523mm,2013年11月,广西 桂林,
标致,2008,6.58,小型SUV,5门5座两厢,354L,3年10个月,6.40万公里,1.6L,7.4L,1.6L/手自一体,前轮驱动,5门5座两厢,4180mm*1745mm*1580mm,2014年11月,广西 桂林,
宝骏,730,5.17,MPV,5门7座单厢,- -,2年8个月,2.57万公里,1.5L,7.1L,1.5L/手动,前轮驱动,5门7座单厢,4685mm*1785mm*1715mm,2016年01月,河南 郑州,
奥迪,Q5,23.21,中型SUV,5门5座两厢,540L,4年4个月,7.93万公里,2.0L,9.0L,2.0L/手自一体,全时四驱,5门5座两厢,4629mm*1898mm*1655mm,2014年05月,河南 郑州,
别克,GL8,19.37,MPV,5门7座两厢,680L,2年,4.15万公里,2.4L,10.0L,2.4L/手自一体,前轮驱动,5门7座两厢,5266mm*1878mm*1772mm,2016年08月,河南 郑州,
福特,福克斯,4.31,紧凑型,5门5座两厢,860L,6年4个月,6.47万公里,1.8L,7.2L,1.8L/手动,前轮驱动,5门5座两厢,4342mm*1840mm*1500mm,2012年05月,河南 郑州,
捷豹,XF,24.36,中大型,4门5座三厢,500L,6年3个月,8.32万公里,3.0L,10.5L,3.0L/手自一体,后轮驱动,4门5座三厢,4961mm*1877mm*1460mm,2012年06月,山东 临沂,
标致,308,4.58,紧凑型,4门5座三厢,565L,4年5个月,6.25万公里,1.6L,7.3L,1.6L/手自一体,前轮驱动,4门5座三厢,4558mm*1805mm*1505mm,2014年04月,江苏 苏州,
现代,瑞纳,5.50,小型,4门5座三厢,454L,3年5个月,5.00万公里,1.4L,6.1L,1.4L/手动,前轮驱动,4门5座三厢,4375mm*1700mm*1460mm,2015年04月,福建 厦门,
雷克萨斯,CT,21.58,紧凑型,5门5座两厢,375L,1年10个月,2.80万公里,1.8L,4.6L,1.8L/CVT无级变速,前轮驱动,5门5座两厢,4350mm*1765mm*1455mm,2016年11月,湖北 恩施,
本田,歌诗图,12.00,中型,5门5座两厢,728L,7年10个月,8.00万公里,3.5L,10.4L,3.5L/手自一体,前轮驱动,5门5座两厢,4995mm*1900mm*1560mm,2010年11月,辽宁 大连,
广汽传祺,传祺GS5,7.60,紧凑型SUV,5门5座两厢,480L,4年,4.23万公里,1.8L,9.2L,1.8L/手自一体,前轮驱动,5门5座两厢,4732mm*1854mm*1680mm,2014年09月,广东 佛山,
丰田,皇冠,25.50,中大型,4门5座三厢,510L,1年7个月,3.23万公里,2.0L,7.4L,2.0L/手自一体,后轮驱动,4门5座三厢,5020mm*1805mm*1480mm,2017年02月,广东 广州,
本田,思铂睿,10.60,中型,4门5座三厢,- -,7年6个月,8.84万公里,2.4L,8.9L,2.4L/手自一体,前轮驱动,4门5座三厢,4730mm*1840mm*1450mm,2011年03月,广东 佛山,
现代,朗动,6.50,紧凑型,4门5座三厢,473L,4年9个月,8.47万公里,1.6L,6.7L,1.6L/手自一体,前轮驱动,4门5座三厢,4570mm*1775mm*1445mm,2013年12月,四川 自贡,
长安汽车,长安CS35,5.60,小型SUV,5门5座两厢,- -,2年,1.82万公里,1.6L,6.8L,1.6L/手动,前轮驱动,5门5座两厢,4160mm*1810mm*1670mm,2016年09月,四川 自贡,
现代,朗动,8.06,紧凑型,4门5座三厢,473L,1年9个月,2.30万公里,1.6L,6.2L,1.6L/手自一体,前轮驱动,4门5座三厢,4570mm*1775mm*1445mm,2016年12月,江苏 苏州,
中华,V5,4.50,紧凑型SUV,5门5座两厢,824L,6年5个月,6.03万公里,1.6L,6.9L,1.6L/手动,前轮驱动,5门5座两厢,4405mm*1800mm*1627mm,2012年04月,四川 自贡,
海马,S5,7.30,紧凑型SUV,5门5座两厢,320L,3年2个月,4.88万公里,1.5L,8.0L,1.5L/CVT无级变速,前轮驱动,5门5座两厢,4358mm*1823mm*1630mm,2015年07月,广东 佛山,
东南,DX7,7.58,紧凑型SUV,5门5座两厢,- -,1年8个月,2.08万公里,1.5L,7.6L,1.5L/手动,前轮驱动,5门5座两厢,4530mm*1900mm*1700mm,2016年12月,广东 佛山,
猎豹,Q6,8.00,中型SUV,5门7座两厢,- -,2年5个月,3.40万公里,2.4L,9.2L,2.4L/手动,后轮驱动,5门7座两厢,4890mm*1795mm*1940mm,2016年04月,山东 临沂,
路虎,揽胜极光(进口),28.80,中型SUV,5门5座两厢,870L,4年11个月,9.18万公里,2.0L,9.0L,2.0L/手自一体,全时四驱,5门5座两厢,4365mm*1965mm*1635mm,2013年10月,江苏 苏州,
路虎,揽胜极光(进口),26.80,中型SUV,3门4座两厢,800L,4年9个月,3.50万公里,2.0L,9.0L,2.0L/手自一体,全时四驱,3门4座两厢,4355mm*1965mm*1605mm,2013年12月,广东 东莞,
奔腾,X80,8.38,紧凑型SUV,5门5座两厢,398L,2年1个月,2.70万公里,2.0L,8.6L,2.0L/手自一体,前轮驱动,5门5座两厢,4586mm*1820mm*1695mm,2016年08月,黑龙江 哈尔滨,
雪佛兰,迈锐宝,8.98,中型,4门5座三厢,544L,3年8个月,5.90万公里,1.6L,8.3L,1.6L/手自一体,前轮驱动,4门5座三厢,4869mm*1854mm*1472mm,2015年01月,福建 泉州,
起亚,K5,12.30,中型,4门5座三厢,- -,1年10个月,2.20万公里,1.6L,6.7L,1.6L/双离合,前轮驱动,4门5座三厢,4855mm*1860mm*1475mm,2016年11月,安徽 合肥,
中华,H530,5.48,紧凑型,4门5座三厢,520L,3个月,0.10万公里,1.6L,7.3L,1.6L/手动,前轮驱动,4门5座三厢,4740mm*1788mm*1475mm,2018年06月,黑龙江 哈尔滨,
本田,思铂睿,17.68,中型,4门5座三厢,- -,2年6个月,3.41万公里,2.4L,7.3L,2.4L/双离合,前轮驱动,4门5座三厢,4840mm*1850mm*1465mm,2016年03月,广东 佛山,
丰田,RAV4荣放,17.45,紧凑型SUV,5门5座两厢,- -,1年5个月,1.62万公里,2.0L,6.4L,2.0L/CVT无级变速,前轮驱动,5门5座两厢,4600mm*1845mm*1690mm,2017年03月,山东 临沂,
别克,君越,12.80,中型,4门5座三厢,- -,5年3个月,5.81万公里,2.4L,9.2L,2.4L/手自一体,前轮驱动,4门5座三厢,5000mm*1858mm*1497mm,2013年06月,广东 佛山,
道奇,酷威,10.28,中型SUV,5门7座两厢,167L,7年2个月,9.30万公里,2.7L,12.0L,2.7L/手自一体,前轮驱动,5门7座两厢,4888mm*1878mm*1745mm,2011年07月,江苏 苏州,
奥迪,A4L,20.70,中型,4门5座三厢,480L,4年3个月,6.70万公里,2.0L,6.6L,2.0L/CVT无级变速,前轮驱动,4门5座三厢,4761mm*1826mm*1439mm,2014年06月,江苏 苏州,
奔驰,B级,14.80,紧凑型,5门5座两厢,1059L,5年7个月,8.60万公里,1.6L,6.6L,1.6L/双离合,前轮驱动,5门5座两厢,4359mm*1786mm*1541mm,2013年02月,广东 广州,
本田,雅阁,10.80,中型,4门5座三厢,446L,7年,6.85万公里,2.4L,8.8L,2.4L/自动,前轮驱动,4门5座三厢,4960mm*1845mm*1480mm,2011年09月,广东 广州,
丰田,威驰,6.50,小型,4门5座三厢,476L,3年,4.79万公里,1.5L,5.6L,1.5L/自动,前轮驱动,4门5座三厢,4410mm*1700mm*1490mm,2015年09月,江苏 苏州,
奥迪,A6L,23.46,中大型,4门5座三厢,460L,5年11个月,8.18万公里,2.5L,7.5L,2.5L/CVT无级变速,前轮驱动,4门5座三厢,5015mm*1874mm*1455mm,2012年10月,山东 临沂,
大众,POLO,7.28,小型,5门5座两厢,250L,3年8个月,6.00万公里,1.6L,6.2L,1.6L/手自一体,前轮驱动,5门5座两厢,3970mm*1682mm*1462mm,2015年01月,江苏 常州,
大众,帕萨特,13.90,中型,4门5座三厢,490L,4年10个月,7.80万公里,1.8L,7.6L,1.8L/双离合,前轮驱动,4门5座三厢,4870mm*1834mm*1472mm,2013年11月,江苏 苏州,
别克,GL8,9.58,MPV,5门7座两厢,- -,6年8个月,9.00万公里,2.4L,Null,2.4L/手自一体,前轮驱动,5门7座两厢,5213mm*1847mm*1750mm,2012年01月,山西 太原,
大众,途安,9.80,MPV,5门5座两厢,620L,4年,7.50万公里,1.4L,6.9L,1.4L/双离合,前轮驱动,5门5座两厢,4395mm*1794mm*1658mm,2014年09月,江苏 苏州,
日产,骐达,10.00,紧凑型,5门5座两厢,310L,6年10个月,10.00万公里,1.6L,6.2L,1.6L/CVT无级变速,前轮驱动,5门5座两厢,4295mm*1760mm*1520mm,2011年11月,广东 佛山,
日产,轩逸,9.68,紧凑型,4门5座三厢,510L,2年11个月,2.91万公里,1.6L,6.2L,1.6L/CVT无级变速,前轮驱动,4门5座三厢,4610mm*1760mm*1495mm,2015年10月,广东 佛山,
日产,轩逸,8.88,紧凑型,4门5座三厢,510L,3年3个月,6.99万公里,1.6L,6.2L,1.6L/CVT无级变速,前轮驱动,4门5座三厢,4610mm*1760mm*1495mm,2015年06月,广东 佛山,
日产,轩逸,8.80,紧凑型,4门5座三厢,510L,3年,4.92万公里,1.6L,6.2L,1.6L/CVT无级变速,前轮驱动,4门5座三厢,4610mm*1760mm*1495mm,2015年09月,广东 广州,
大众,帕萨特,10.98,中型,4门5座三厢,490L,2年11个月,4.00万公里,1.4L,6.7L,1.4L/双离合,前轮驱动,4门5座三厢,4870mm*1834mm*1472mm,2015年10月,江苏 苏州,
本田,思域,8.68,紧凑型,4门5座三厢,440L,5年9个月,7.00万公里,1.8L,6.8L,1.8L/自动,前轮驱动,4门5座三厢,4535mm*1755mm*1450mm,2012年12月,广东 佛山,
日产,骊威,4.97,小型,5门5座两厢,383L,6年4个月,7.32万公里,1.6L,7.4L,1.6L/手动,前轮驱动,5门5座两厢,4178mm*1690mm*1565mm,2012年05月,广东 广州,
起亚,赛拉图,2.68,紧凑型,4门5座三厢,- -,6年9个月,6.83万公里,1.6L,Null,1.6L/手动,前轮驱动,4门5座三厢,4500mm*1735mm*1470mm,2011年12月,四川 自贡,
本田,CR-V,12.80,紧凑型SUV,5门5座两厢,- -,5年4个月,7.00万公里,2.0L,8.0L,2.0L/自动,前轮驱动,5门5座两厢,4550mm*1820mm*1685mm,2013年05月,广东 佛山,
本田,CR-V,10.98,紧凑型SUV,5门5座两厢,- -,6年3个月,6.00万公里,2.0L,8.0L,2.0L/自动,前轮驱动,5门5座两厢,4550mm*1820mm*1685mm,2012年06月,江苏 苏州,
日产,阳光,3.88,紧凑型,4门5座三厢,490L,5年2个月,7.26万公里,1.5L,6.1L,1.5L/手动,前轮驱动,4门5座三厢,4426mm*1696mm*1518mm,2013年07月,四川 自贡,
铃木,雨燕,5.60,小型,5门5座两厢,213L,3年2个月,2.40万公里,1.5L,6.5L,1.5L/自动,前轮驱动,5门5座两厢,3765mm*1690mm*1510mm,2015年07月,江苏 徐州,
铃木,天语 SX4,3.80,紧凑型,5座两厢,- -,6年8个月,6.12万公里,1.6L,7.2L,1.6L/手动,前轮驱动,5座两厢,4135mm*1755mm*1605mm,2012年01月,四川 自贡,
本田,奥德赛,18.80,MPV,5门7座两厢,- -,3年8个月,6.60万公里,2.4L,7.8L,2.4L/CVT无级变速,前轮驱动,5门7座两厢,4845mm*1805mm*1695mm,2015年01月,浙江 嘉兴,
别克,威朗,10.48,紧凑型,4门5座三厢,460L,1年1个月,1.00万公里,1.5L,6.3L,1.5L/手自一体,前轮驱动,4门5座三厢,4718mm*1802mm*1466mm,2017年08月,浙江 温州,
宝骏,560,5.99,紧凑型SUV,5门5座两厢,460L,1年11个月,2.30万公里,1.8L,7.4L,1.8L/半自动,前轮驱动,5门5座两厢,4620mm*1820mm*1750mm,2016年10月,浙江 嘉兴,
宝骏,730,8.28,MPV,5门7座单厢,- -,1年10个月,1.55万公里,1.8L,7.4L,1.8L/半自动,前轮驱动,5门7座单厢,4710mm*1785mm*1745mm,2016年11月,广东 佛山,
荣威,550,4.50,紧凑型,4门5座三厢,452L,6年8个月,9.40万公里,1.8L,9.5L,1.8L/手自一体,前轮驱动,4门5座三厢,4624mm*1827mm*1480mm,2012年01月,江苏 苏州,
长安欧尚,欧尚A600,4.25,MPV,两厢,- -,12个月,1.07万公里,1.5L,6.8L,1.5L/- -,- -,两厢,- -,2017年09月,河南 安阳,
众泰,T600,5.85,中型SUV,5门5座两厢,344L,3年3个月,6.54万公里,2.0L,9.2L,2.0L/双离合,前轮驱动,5门5座两厢,4631mm*1893mm*1694mm,2015年06月,河南 郑州,
标致,3008,10.13,紧凑型SUV,5门5座两厢,503L,2年6个月,5.96万公里,1.6L,6.4L,1.6L/手自一体,前轮驱动,5门5座两厢,4435mm*1840mm*1652mm,2016年03月,河南 郑州,
现代,ix25,9.16,小型SUV,5门5座两厢,431L,3年,3.04万公里,1.6L,7.2L,1.6L/手自一体,前轮驱动,5门5座两厢,4270mm*1780mm*1627mm,2015年09月,河南 郑州,
本田,奥德赛,22.97,MPV,5门7座两厢,- -,1年3个月,3.99万公里,2.4L,7.8L,2.4L/CVT无级变速,前轮驱动,5门7座两厢,4845mm*1805mm*1695mm,2017年06月,河南 郑州,
雪铁龙,世嘉,6.23,紧凑型,4门5座三厢,481L,3年3个月,3.88万公里,1.6L,7.3L,1.6L/手自一体,前轮驱动,4门5座三厢,4588mm*1773mm*1486mm,2015年06月,河南 郑州,
汉腾,X7,7.16,紧凑型SUV,5门5座两厢,344L,1年5个月,1.97万公里,1.5L,7.9L,1.5L/手动,前轮驱动,5门5座两厢,4671mm*1902mm*1697mm,2017年04月,河南 许昌,
哈弗,H6,8.47,紧凑型SUV,5门5座两厢,808L,1年10个月,4.53万公里,1.5L,7.9L,1.5L/手自一体,前轮驱动,5门5座两厢,4649mm*1852mm*1710mm,2016年11月,河南 郑州,
大众,朗逸,7.67,紧凑型,4门5座三厢,472L,3年2个月,7.62万公里,1.6L,6.9L,1.6L/手自一体,前轮驱动,4门5座三厢,4608mm*1743mm*1465mm,2015年07月,河南 郑州,
哈弗,H2,6.83,小型SUV,5门5座两厢,- -,2年3个月,2.34万公里,1.5L,7.0L,1.5L/手动,前轮驱动,5门5座两厢,4335mm*1814mm*1695mm,2016年06月,北京,
吉利,博越,11.05,紧凑型SUV,- -,- -,4个月,0.55万公里,1.8L,7.8L,1.8L/- -,- -,- -,- -,2018年05月,北京,
大众,朗逸,7.43,紧凑型,4门5座三厢,472L,3年2个月,7.40万公里,1.6L,6.9L,1.6L/手自一体,前轮驱动,4门5座三厢,4608mm*1743mm*1465mm,2015年07月,河南 郑州,
福特,福克斯,4.36,紧凑型,5门5座两厢,860L,5年4个月,9.35万公里,1.8L,7.2L,1.8L/手动,前轮驱动,5门5座两厢,4342mm*1840mm*1500mm,2013年05月,河南 郑州,
大众,帕萨特,13.42,中型,4门5座三厢,490L,2年11个月,5.93万公里,1.8L,7.6L,1.8L/双离合,前轮驱动,4门5座三厢,4870mm*1834mm*1472mm,2015年10月,河南 郑州,
大众,速腾,10.36,紧凑型,4门5座三厢,510L,2年2个月,6.58万公里,1.6L,6.8L,1.6L/手自一体,前轮驱动,4门5座三厢,4655mm*1780mm*1453mm,2016年06月,北京,
荣威,RX5,10.05,紧凑型SUV,5门5座两厢,595L,2年,6.53万公里,1.5L,6.8L,1.5L/双离合,前轮驱动,5门5座两厢,4545mm*1855mm*1719mm,2016年09月,河南 新乡,
Jeep,自由光,16.23,中型SUV,5门5座两厢,- -,2年7个月,4.73万公里,2.4L,8.5L,2.4L/手自一体,适时四驱,5门5座两厢,4649mm*1859mm*1695mm,2016年02月,河南 郑州,
众泰,T600,6.83,中型SUV,5门5座两厢,344L,2年8个月,4.18万公里,2.0L,9.2L,2.0L/双离合,前轮驱动,5门5座两厢,4631mm*1893mm*1694mm,2016年01月,河南 郑州,
雪佛兰,科鲁兹,7.86,紧凑型,4门5座三厢,430L,3年2个月,5.34万公里,1.4L,5.9L,1.4L/双离合,前轮驱动,4门5座三厢,4567mm*1786mm*1454mm,2015年07月,北京,
现代,朗动,6.32,紧凑型,4门5座三厢,473L,4年8个月,8.29万公里,1.6L,6.6L,1.6L/手自一体,前轮驱动,4门5座三厢,4570mm*1775mm*1445mm,2014年01月,河南 郑州,
现代,瑞纳,5.53,小型,4门5座三厢,454L,3年,7.11万公里,1.4L,6.1L,1.4L/自动,前轮驱动,4门5座三厢,4375mm*1700mm*1460mm,2015年09月,北京,
奥迪,A6L,22.83,中大型,4门5座三厢,460L,6年,9.79万公里,2.5L,7.5L,2.5L/CVT无级变速,前轮驱动,4门5座三厢,5015mm*1874mm*1455mm,2012年09月,河南 郑州,
日产,天籁,12.37,中型,4门5座三厢,516L,4年4个月,8.48万公里,2.5L,7.3L,2.5L/CVT无级变速,前轮驱动,4门5座三厢,4868mm*1830mm*1490mm,2014年05月,河南 郑州,
日产,轩逸,6.23,紧凑型,4门5座三厢,504L,1年11个月,2.03万公里,1.6L,6.5L,1.6L/手动,前轮驱动,4门5座三厢,4665mm*1700mm*1505mm,2016年10月,河南 周口,
大众,帕萨特,13.96,中型,4门5座三厢,490L,3年,6.75万公里,1.8L,7.6L,1.8L/双离合,前轮驱动,4门5座三厢,4870mm*1834mm*1472mm,2015年09月,河南 商丘,
丰田,汉兰达,30.66,中型SUV,5门7座两厢,- -,1年7个月,3.49万公里,2.0L,8.7L,2.0L/手自一体,适时四驱,5门7座两厢,4855mm*1925mm*1720mm,2017年02月,北京,
奇瑞,风云2,2.45,小型,5门5座两厢,300L,4年4个月,3.59万公里,1.5L,6.3L,1.5L/手动,前轮驱动,5门5座两厢,4188mm*1686mm*1480mm,2014年04月,河南 郑州,
福特,翼搏,6.32,小型SUV,5门5座两厢,348L,3年10个月,8.20万公里,1.5L,6.5L,1.5L/双离合,前轮驱动,5门5座两厢,4280mm*1785mm*1658mm,2014年11月,河南 郑州,
日产,轩逸,6.79,紧凑型,4门5座三厢,504L,3年4个月,6.12万公里,1.6L,7.6L,1.6L/自动,前轮驱动,4门5座三厢,4665mm*1700mm*1505mm,2015年05月,河南 郑州,
宝骏,630,2.96,紧凑型,4门5座三厢,445L,5年8个月,9.60万公里,1.5L,6.3L,1.5L/手动,前轮驱动,4门5座三厢,4597mm*1736mm*1462mm,2013年01月,河南 郑州,
大众,CC,19.36,中型,4门5座三厢,532L,1年8个月,2.61万公里,2.0L,8.0L,2.0L/双离合,前轮驱动,4门5座三厢,4812mm*1855mm*1417mm,2017年01月,河南 郑州,
福特,翼虎,11.05,紧凑型SUV,5门5座两厢,960L,3年4个月,5.26万公里,1.5L,7.2L,1.5L/手自一体,前轮驱动,5门5座两厢,4524mm*1838mm*1695mm,2015年05月,河南 郑州,
广汽传祺,传祺GS5,6.73,紧凑型SUV,5门5座两厢,480L,5年,4.27万公里,1.8L,9.2L,1.8L/手自一体,前轮驱动,5门5座两厢,4732mm*1854mm*1680mm,2013年09月,河南 郑州,
大众,途观L,21.98,中型SUV,5门5座两厢,495L,1年1个月,2.73万公里,1.8L,7.2L,1.8L/双离合,前轮驱动,5门5座两厢,4712mm*1839mm*1673mm,2017年08月,河南 郑州,
本田,飞度,8.13,小型,- -,- -,8个月,0.67万公里,1.5L,5.3L,1.5L/- -,- -,- -,- -,2018年01月,北京,
